#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
ptg000007l_19        -            311 1592033at2           -            393      0.03   12.3   1.8   1   3      0.42   1.3e+02    0.3   0.0   195   240     7    53     2    64 0.77 # 22151 # 23083 # 1 # ID=7_19;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.382
ptg000007l_19        -            311 1592033at2           -            393      0.03   12.3   1.8   2   3    0.0003     0.094   10.6   0.2   274   322    85   137    81   155 0.80 # 22151 # 23083 # 1 # ID=7_19;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.382
ptg000007l_19        -            311 1592033at2           -            393      0.03   12.3   1.8   3   3       4.4   1.4e+03   -3.1   0.1   294   349   199   256   186   279 0.49 # 22151 # 23083 # 1 # ID=7_19;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.382
ptg000012l_118       -            663 1592033at2           -            393     0.082   10.8   0.3   1   5      0.15        47    1.8   0.0   192   219     3    30     2    38 0.84 # 165664 # 167652 # 1 # ID=12_118;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.401
ptg000012l_118       -            663 1592033at2           -            393     0.082   10.8   0.3   2   5     0.068        21    2.9   0.0   299   341   103   141    73   181 0.77 # 165664 # 167652 # 1 # ID=12_118;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.401
ptg000012l_118       -            663 1592033at2           -            393     0.082   10.8   0.3   3   5       3.9   1.2e+03   -2.9   0.0   191   217   445   471   430   476 0.77 # 165664 # 167652 # 1 # ID=12_118;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.401
ptg000012l_118       -            663 1592033at2           -            393     0.082   10.8   0.3   4   5       0.6   1.9e+02   -0.2   0.0   270   322   519   580   516   616 0.70 # 165664 # 167652 # 1 # ID=12_118;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.401
ptg000012l_118       -            663 1592033at2           -            393     0.082   10.8   0.3   5   5      0.84   2.6e+02   -0.7   0.0   231   265   623   657   621   658 0.85 # 165664 # 167652 # 1 # ID=12_118;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.401
ptg000011l_190       -            677 1592033at2           -            393       1.4    6.8   7.4   1   2     0.002      0.64    7.9   0.5   192   251   143   204   136   347 0.69 # 272771 # 274801 # 1 # ID=11_190;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.369
ptg000011l_190       -            677 1592033at2           -            393       1.4    6.8   7.4   2   2       2.7   8.5e+02   -2.4   1.5   344   390   411   458   403   461 0.75 # 272771 # 274801 # 1 # ID=11_190;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.369
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/inf-41-2022/Assembly/busco_downloads/lineages/bacteria_odb10/hmms/1592033at2.hmm
# Target file:     /home/inf-41-2022/Assembly/Busco/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/inf-41-2022/Assembly/Busco/auto_lineage/run_bacteria_odb10/hmmer_output/1592033at2.out --cpu 1 /home/inf-41-2022/Assembly/busco_downloads/lineages/bacteria_odb10/hmms/1592033at2.hmm /home/inf-41-2022/Assembly/Busco/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/inf-41-2022/Assembly
# Date:            Thu Feb 23 23:00:36 2023
# [ok]
