#                                                                                --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name            accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#    ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
ptg000010l:113075-114058 -            328 28907at4891          -            239   5.3e-08   23.4   0.6   2   3   3.9e-07   7.2e-07   19.7   0.7    67   213   122   277    74   298 0.75 -
ptg000010l:113075-114058 -            328 28907at4891          -            239   5.3e-08   23.4   0.6   3   3     0.038     0.071    3.3   0.0    66   102   249   284   235   319 0.82 -
ptg000007l:423757-425205 -            483 28907at4891          -            239   2.7e-07   21.1   0.0   1   2   5.9e-05   0.00011   12.5   0.0   108   172   170   231   120   290 0.73 -
ptg000007l:423757-425205 -            483 28907at4891          -            239   2.7e-07   21.1   0.0   2   2    0.0079     0.015    5.6   0.0   128   197   383   457   367   465 0.73 -
ptg000001l:153612-154391 -            260 28907at4891          -            239   7.5e-07   19.6   5.3   1   3      0.11       0.2    1.8   0.0    77    97    37    57    23    68 0.61 -
ptg000001l:153612-154391 -            260 28907at4891          -            239   7.5e-07   19.6   5.3   2   3     7e-05   0.00013   12.3   1.3    76   134    99   161    86   164 0.77 -
ptg000001l:153612-154391 -            260 28907at4891          -            239   7.5e-07   19.6   5.3   3   3     0.051     0.094    2.9   0.0   114   214   201   221   184   257 0.66 -
ptg000008l:850268-852322 -            685 28907at4891          -            239   0.00012   12.4   0.1   1   2      0.06      0.11    2.7   0.0    72    97     4    29     1    34 0.89 -
ptg000008l:850268-852322 -            685 28907at4891          -            239   0.00012   12.4   0.1   2   2    0.0024    0.0044    7.3   0.0    77   131    54   112    37   122 0.74 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/inf-41-2022/Assembly/busco_downloads/lineages/saccharomycetes_odb10/hmms/28907at4891.hmm
# Target file:     /home/inf-41-2022/Assembly/Busco/run_saccharomycetes_odb10/metaeuk_output/rerun_results/output.bp.p_ctg.fa.modified.fas
# Option settings: hmmsearch --domtblout /home/inf-41-2022/Assembly/Busco/run_saccharomycetes_odb10/hmmer_output/rerun_results/28907at4891.out --cpu 1 /home/inf-41-2022/Assembly/busco_downloads/lineages/saccharomycetes_odb10/hmms/28907at4891.hmm /home/inf-41-2022/Assembly/Busco/run_saccharomycetes_odb10/metaeuk_output/rerun_results/output.bp.p_ctg.fa.modified.fas 
# Current dir:     /home/inf-41-2022/Assembly
# Date:            Thu Feb 23 23:32:07 2023
# [ok]
